receiver_i,label_i,indegree,correct_joint,CE_joint,CE_text_all,CE_visual_all,CE_null_all,CE_exact_os,CE_first_os,CE_second_os,dCE_text_all,dCE_visual_all,dCE_null_all,dCE_exact_os,dCE_first_os,dCE_second_os,G_local_exact,G_local_first,G_global_exact,G_global_first,G_global_second
9258,12,3,True,0.15164985,0.36513510,0.18871289,0.44261551,0.15164985,0.15164985,0.15164985,0.21348526,0.03706305,0.29096568,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5703,8,8,True,0.31018588,3.50376201,0.08554780,1.74246740,0.08554780,0.08554780,0.08554780,3.19357610,-0.22463807,1.43228149,-0.22463807,-0.22463807,-0.22463807,0.42984435,0.42984432,0.22463807,0.22463807,0.22463807
15126,18,6,True,0.62966716,0.85536206,0.62925524,0.85545272,0.57091027,0.57091027,0.57091027,0.22569489,-0.00041193,0.22578555,-0.05875689,-0.05875689,-0.05875689,0.06038260,0.06038260,0.05875689,0.05875689,0.05875689
12146,13,7,True,0.01315992,0.15808845,0.02252027,0.23293641,0.01297778,0.01297778,0.01297778,0.14492853,0.00936035,0.21977650,-0.00018214,-0.00018214,-0.00018214,0.00035475,0.00035475,0.00018214,0.00018214,0.00018214
9456,12,9,True,0.00019084,0.01098443,0.07163028,0.11740425,0.00018738,0.00019715,0.00018738,0.01079359,0.07143944,0.11721341,-0.00000346,0.00000632,-0.00000346,0.00000346,0.00000024,0.00000346,-0.00000632,0.00000346
13849,16,1,True,0.40011311,0.75733668,0.46661916,0.84952044,0.40011311,0.40011311,0.40011311,0.35722357,0.06650606,0.44940734,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
13692,16,33,True,0.00491708,0.26905057,0.07310940,0.93663657,0.00364521,0.00364521,0.00364521,0.26413348,0.06819232,0.93171948,-0.00127187,-0.00127187,-0.00127187,0.00137488,0.00137488,0.00127187,0.00127187,0.00127187
11447,13,2,True,0.02757840,0.21764705,0.04196982,0.28650981,0.02757840,0.02757840,0.03476967,0.19006865,0.01439142,0.25893140,0.00000000,0.00000000,0.00719126,0.00000000,0.00000000,0.00000000,0.00000000,-0.00719126
6744,9,17,True,0.00097227,0.03325068,0.00304188,0.07811454,0.00096453,0.00096453,0.00096453,0.03227840,0.00206961,0.07714226,-0.00000774,-0.00000774,-0.00000774,0.00000774,0.00000774,0.00000774,0.00000774,0.00000774
3638,5,1,False,3.64133716,1.53904939,3.78363752,1.67547429,1.53904939,1.53904939,1.53904939,-2.10228777,0.14230037,-1.96586287,-2.10228777,-2.10228777,-2.10228777,2.10229087,2.10229087,2.10228777,2.10228777,2.10228777
12288,14,13,True,0.19474548,0.25606310,0.13543075,0.20308985,0.13665195,0.13665195,0.13665195,0.06131762,-0.05931473,0.00834437,-0.05809353,-0.05809353,-0.05809353,0.09203057,0.09203057,0.05809353,0.05809353,0.05809353
5515,7,3,True,0.01298308,0.03683778,0.01864140,0.04789883,0.01294860,0.01294860,0.01294860,0.02385470,0.00565832,0.03491575,-0.00003448,-0.00003448,-0.00003448,0.00003448,0.00003448,0.00003448,0.00003448,0.00003448
7750,11,3,True,0.28096724,0.12405609,0.33317962,0.14795208,0.12405609,0.12405609,0.12405609,-0.15691115,0.05221239,-0.13301516,-0.15691115,-0.15691115,-0.15691115,0.19100036,0.19100036,0.15691115,0.15691115,0.15691115
3619,5,3,True,0.77959317,0.43456021,2.05970049,1.34424305,0.43456021,0.43456021,0.43456021,-0.34503296,1.28010726,0.56464988,-0.34503296,-0.34503296,-0.34503296,0.41139674,0.41139674,0.34503296,0.34503296,0.34503296
12776,14,32,True,0.00173716,0.00719267,0.00246376,0.01931081,0.00229298,0.00200012,0.00229298,0.00545551,0.00072660,0.01757365,0.00055582,0.00026296,0.00055582,0.00121494,0.00119054,-0.00055582,-0.00026296,-0.00055582
7196,9,7,True,0.13480079,0.30501622,0.20322995,0.31227595,0.09132469,0.09132469,0.09132469,0.17021543,0.06842916,0.17747515,-0.04347610,-0.04347610,-0.04347610,0.05862125,0.05862125,0.04347610,0.04347610,0.04347610
16800,17,1,False,2.29845262,2.66174960,3.18618774,3.53757572,2.29845262,2.29845262,2.29845262,0.36329699,0.88773513,1.23912311,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
