dataset,train_seed,analysis_seed,receiver_i,neighbor_j,neighbor_k,edge_id_j,edge_id_k,alpha_j,alpha_k,norm_deltaV_j,norm_deltaV_k,label_i,S_exact_real,S_norm_real,S_second_real,Q_best_real,Q_text_sh,Q_visual_sh,Q_joint_sh,S_exact_sh,S_norm_sh,S_second_sh,Q_best_sh,receiver_correct_full
Grocery,42,12345,5599,5932,5597,40254,37027,0.08512565493583679,0.08703882992267609,0.780125081539154,0.6039935946464539,7,-0.00012506917119026184,-0.003878278424963355,-0.00013661282248965574,0.016061775386333466,0.001234438270330429,0.011832654476165771,0.012916777282953262,-0.00015031546354293823,-0.005784950684756041,-0.0001737018718883257,0.012916777282953262,True
Grocery,42,12345,5599,4985,5597,31981,37027,0.05063696950674057,0.08703882992267609,0.46215108036994934,0.6039935946464539,7,8.624792098999023e-05,0.010463288053870201,9.319228972063439e-05,0.0041645728051662445,0.0005925297737121582,0.01172308623790741,0.012274868786334991,-4.0747225284576416e-05,-0.001657031592912972,-4.233713732964715e-05,0.012274868786334991,True
Grocery,42,12345,5599,5597,5932,37027,40254,0.08703882992267609,0.08512565493583679,0.6039935946464539,0.780125081539154,7,-0.00023193657398223877,-0.00858353916555643,-0.00027149587407002997,0.013394571840763092,0.0016840212047100067,0.0150563083589077,0.01653660461306572,-0.0002037249505519867,-0.006122104823589325,-0.0002289345915756977,0.01653660461306572,True
Grocery,42,12345,12143,10855,11040,89683,91746,0.02744106575846672,0.015221563167870045,0.22382386028766632,0.05943368747830391,13,1.1920923270736239e-07,0.9226061701774597,-3.747740565132109e-09,1.1920923270736239e-07,1.1920923270736239e-07,0.0,1.1920923270736239e-07,0.0,0.0,-1.443725673139795e-10,1.1920923270736239e-07,True
Grocery,42,12345,12143,11040,10855,91746,89683,0.015221563167870045,0.02744106575846672,0.05943368747830391,0.22382386028766632,13,0.0,0.0,7.925146808595601e-11,0.0,0.0,1.1920923270736239e-07,1.1920923270736239e-07,0.0,0.0,1.1184435691591177e-09,1.1920923270736239e-07,True
Grocery,42,12345,16528,16858,10087,140561,79537,0.16903084516525269,0.09128709137439728,1.674041986465454,0.5972431302070618,19,0.08875787258148193,0.2097163200378418,0.10000528654744167,0.16723519563674927,-0.07273432612419128,0.010873660445213318,-0.060030728578567505,0.0018299371004104614,0.012739858590066433,0.0013126572751660272,0.010873660445213318,True
Grocery,42,12345,16528,10087,16858,79537,140561,0.09128709137439728,0.16903084516525269,0.5972431302070618,1.674041986465454,19,0.000575631856918335,0.010973538272082806,0.0005381205715506519,0.012128055095672607,-0.05778905749320984,0.2241443544626236,0.19820399582386017,0.031848713755607605,0.06633249670267105,0.03908742330758132,0.2241443544626236,True
Grocery,42,12345,3819,9925,202,77884,932,0.08451542258262634,0.22360679507255554,0.9074622988700867,1.5731794834136963,5,0.0004105418920516968,0.01197641622275114,0.00044325025332077675,0.0,-0.0015620216727256775,-0.019350379705429077,-0.02090863138437271,3.769993782043457e-06,9.014585521072149e-05,1.6147524729215448e-05,0.0,True
Grocery,42,12345,3819,202,9925,932,77884,0.22360679507255554,0.08451542258262634,1.5731794834136963,0.9074622988700867,5,0.022642627358436584,0.16796539723873138,0.02526976563987894,0.05608133226633072,0.06549309194087982,-0.028196290135383606,0.0505276694893837,0.013230867683887482,0.09174273908138275,0.014002470396688563,0.06549309194087982,True
Grocery,42,12345,11383,1998,11840,8677,99682,0.05330017954111099,0.027410123497247696,0.3341282606124878,0.34426000714302063,13,-1.6523990780115128e-06,-0.0035636990796774626,-1.6519075252512659e-06,0.0,-0.00018236413598060608,0.000487219775095582,0.00033830548636615276,3.3449847251176834e-05,0.033187683671712875,3.479818380890046e-05,0.000487219775095582,True
