dataset,train_seed,analysis_seed,receiver_i,neighbor_j,edge_id,label_i,label_j,degree_i,degree_j,edge_norm,receiver_degree_bin,receiver_correct_full,full_confidence,sim_text,sim_visual,L_null,L_text,L_visual,L_joint,Q_text,Q_visual,Q_joint,S_exact,S_norm,Q_text_1,Q_visual_1,Q_joint_1,Q_text_2,Q_visual_2,Q_joint_2,S_second,best_exact,best_first,best_second
Grocery,42,12345,9093,8989,66895,12,12,4,3,0.28867512941360474,1,True,0.775782585144043,0.9716061353683472,0.8086130619049072,0.34167152643203735,0.24664676189422607,0.3588436543941498,0.2538829445838928,0.09502476453781128,-0.017172127962112427,0.08778858184814453,0.009935945272445679,0.049683332443237305,0.11200969941306613,-0.0016707970117196547,0.11033890240134642,0.09296337991618302,-0.022156134273058764,0.08086334465407251,0.010056099010948255,1,1,1
Grocery,42,12345,4597,4723,29300,7,7,73,19,0.026851078495383263,3,True,0.9999929666519165,0.8511131405830383,0.849643349647522,7.271740287251305e-06,7.152531907195225e-06,7.271740287251305e-06,7.033323527139146e-06,1.1920838005607948e-07,0.0,2.3841676011215895e-07,1.1920838005607948e-07,0.32426610589027405,1.8181043260200576e-07,3.56740307307717e-08,2.1748446333277746e-07,1.7531502443449642e-07,3.1360578998463793e-08,2.1386753464799058e-07,7.1919312150303684e-09,3,3,3
Grocery,42,12345,16121,4166,22267,18,8,8,146,0.029260287061333656,2,True,0.9250972270965576,0.6845254898071289,0.8317745923995972,0.0836639553308487,0.08400159329175949,0.07757625728845596,0.0778564065694809,-0.0003376379609107971,0.006087698042392731,0.005807548761367798,5.748867988586426e-05,0.0046995156444609165,-0.00032273371120819907,0.00652609341639759,0.006203359705189388,-0.0003373939508289978,0.006057719065976808,0.005783866760080432,6.354164493262236e-05,2,2,2
Grocery,42,12345,14553,14569,125833,16,16,12,22,0.06154574453830719,3,True,0.9888090491294861,0.8947776556015015,0.9536927938461304,0.015929581597447395,0.013425306417047977,0.013429069891571999,0.011254046112298965,0.002504275180399418,0.0025005117058753967,0.00467553548514843,-0.00032925140112638474,-0.034012407064437866,0.0027669348381869226,0.0028603029787749095,0.005627237816961835,0.0024850425817210435,0.002452002216267037,0.0045386657494817005,-0.0003983790485063798,3,3,3
Grocery,42,12345,5851,5873,39432,8,8,3,71,0.06851886957883835,1,True,0.9829117059707642,0.9468569159507751,0.9216198921203613,0.022887585684657097,0.025877932086586952,0.015215166844427586,0.01723596639931202,-0.0029903464019298553,0.007672418840229511,0.0056516192853450775,0.0009695468470454216,0.059428926557302475,-0.0027662971176150913,0.009422577546170749,0.006656280428555657,-0.0029780299281997884,0.00739882493197876,0.005514582915082444,0.0010937879113034725,2,2,2
Grocery,42,12345,14703,13588,115529,15,15,1,22,0.21320071816444397,0,True,0.9506607055664062,0.909863293170929,0.9328794479370117,0.18342198431491852,0.1478978842496872,0.0638233944773674,0.050598081201314926,0.03552410006523132,0.11959858983755112,0.1328238993883133,-0.022298790514469147,-0.07744071632623672,0.03980661228358998,0.1932079124488178,0.23301452473240777,0.03520709594126939,0.09307714051206677,0.09149353596039697,-0.036790700492939185,3,3,2
Grocery,42,12345,7287,6770,46533,9,9,3,17,0.14002801477909088,1,True,0.5368702411651611,0.98409104347229,0.7442889213562012,0.7310364246368408,0.6434857845306396,0.7233573198318481,0.6219989061355591,0.08755064010620117,0.007679104804992676,0.10903751850128174,0.01380777359008789,0.06759659945964813,0.10356833474957558,0.025157852832585176,0.1287261875821608,0.08656027461282892,0.008636882821819212,0.10698656940957883,0.011789411974930702,3,3,3
Grocery,42,12345,1707,1938,8172,1,1,53,6,0.05607721582055092,3,True,0.9831151366233826,0.9628720879554749,0.8846997022628784,0.027577823027968407,0.02414349466562271,0.019577838480472565,0.017029019072651863,0.0034343283623456955,0.007999984547495842,0.010548803955316544,-0.0008855089545249939,-0.040281303226947784,0.00374698645101182,0.009681572676478577,0.013428559127490396,0.0034137281707188,0.007750765990197899,0.010022926949005681,-0.0011415672119110178,3,3,3
Grocery,42,12345,14737,13296,112578,16,16,4,73,0.05852057412266731,1,True,0.9827364683151245,0.9166020750999451,0.8759126663208008,0.021080486476421356,0.020732825621962547,0.0177504550665617,0.017414286732673645,0.0003476608544588089,0.0033300314098596573,0.003666199743747711,-1.1492520570755005e-05,-0.0015649066772311926,0.00037044404673793334,0.003703986800712912,0.004074430847450845,0.0003470116766823719,0.0033017213539040576,0.003634205006544537,-1.4528024041892372e-05,3,3,3
Grocery,42,12345,16661,15348,132658,19,19,13,12,0.0800640806555748,3,True,0.9688847661018372,0.9310601949691772,0.8668182492256165,0.044637907296419144,0.04949116334319115,0.028798092156648636,0.03160961717367172,-0.004853256046772003,0.015839815139770508,0.013028290122747421,0.0020417310297489166,0.06054709106683731,-0.004452414765458149,0.01999116454653376,0.01553874978107561,-0.00483484757072307,0.015134266695920707,0.012712464366413219,0.0024130452412155813,2,2,2
Grocery,42,12345,11465,11384,95464,13,13,3,22,0.12309148907661438,1,True,0.9991267323493958,0.9857563972473145,0.9437864422798157,0.002787515986710787,0.00252714054659009,0.000977276940830052,0.0008736607851460576,0.000260375440120697,0.001810239045880735,0.0019138552015647292,-0.00015675928443670273,-0.039342474192380905,0.0003287142084873844,0.0029565475476022937,0.0032852617560896785,0.0002529021142142835,0.0013508860426233687,0.0012939827424354347,-0.00030980541440221764,3,3,2
Grocery,42,12345,4110,3669,17657,8,6,3,34,0.0990147590637207,1,True,0.8121697902679443,0.926874577999115,0.9374829530715942,0.22992989420890808,0.29627755284309387,0.16432422399520874,0.2080458253622055,-0.06634765863418579,0.06560567021369934,0.021884068846702576,0.022626057267189026,0.14707772433757782,-0.0559198406421295,0.0800899046673935,0.02417006402526401,-0.06532649652700329,0.0636658762541369,0.02167408445016547,0.023334704723031854,2,2,2
Grocery,42,12345,14821,13077,109521,16,16,21,35,0.03688555583357811,3,True,0.9576308727264404,0.9252932071685791,0.875515341758728,0.0458950512111187,0.04426470026373863,0.04493074491620064,0.04329288378357887,0.001630350947380066,0.0009643062949180603,0.0026021674275398254,7.510185241699219e-06,0.0014451461611315608,0.0017073293440774866,0.0010132899020728668,0.002720619246150353,0.001628007557254999,0.0009621528123663901,0.0025979687000555777,7.808330434188682e-06,3,3,3
